ebsd_1,ebsd_2,centroid_error,orientation_error,area_error,weight
29,22,0.0028433486612606898,0.012025243842301603,0.009630140961472142,0.008166244488344812
25,19,0.0045634271844326845,0.0,0.02973500791266051,0.011432811699031065
5,4,0.0033956801709470576,0.029540831471786128,0.013025086098847557,0.015320532580526916
26,20,0.0023209951272611887,0.0420874087801855,0.004953767731275935,0.01645405721290754
1,1,0.002625277202395619,0.0535052709515214,0.011172243505827904,0.022434263886581637
8,6,0.004534912632139502,0.04121967560768134,0.026482135344226217,0.02407890786134902
6,5,0.00488810925629276,0.054333980067242646,0.015884874155383897,0.0250356544929731
14,12,0.004699206096589755,0.07074625695812377,0.010386765092029373,0.028610742715580968
18,14,0.0039872586495086374,0.0808381968690084,0.001565315026332019,0.028796923514949682
27,21,0.0019116560467554538,0.06384965383487819,0.021527579479975335,0.029096296453869658
3,2,0.0015498278105877841,0.06382811056226978,0.02381229889662369,0.029730079089827083
30,23,0.0,0.096896171657791,0.0,0.03229872388593034
11,9,0.007329628452048566,0.06056611063420711,0.03518170562621336,0.03435914823748968
9,7,0.0030393658769552706,0.06316303706500531,0.042631000256384,0.03627780106611486
13,11,0.005312608147183156,0.01911977568080672,0.09407405106691315,0.03950214496496767
10,8,0.007058281405963121,0.09528566913943647,0.03418697137566835,0.04551030730702265
22,17,0.014444034783768824,0.023176816745978223,0.11763258125278485,0.05175114426084396
16,13,0.01461664222578511,0.06795061248307073,0.0778603617049107,0.05347587213792218
4,3,0.016151827454838414,0.032812146510817174,0.1909086256163218,0.07995753319399246
20,15,0.06872118063416642,0.08496893994078633,0.20951070276550035,0.12106694111348437
21,16,0.047237292322411716,0.055708431579818765,0.2603043292183425,0.12108335104019101
28,18,0.027137498745357428,0.23627625483974754,0.10573445109398631,0.12304940155969711
12,10,0.016561629384752273,0.0976353348888425,0.2620806841055882,0.125425882793061
