Experimental,Run 1,Run 2,Run 3,Run 4,Run 5
1.2047,1.2269,1.2269,1.2269,1.2269,1.2269
1.1989,1.2269,1.2269,1.2269,1.2269,1.2269
1.1899,1.2269,1.2269,1.2269,1.2269,1.2269
1.2035,1.2279,1.2279,1.2276,1.2271,1.2271
1.1996,1.2295,1.2294,1.2289,1.2273,1.2275
1.1905,1.2313,1.2311,1.2303,1.2276,1.2279
1.1944,1.2338,1.2335,1.2323,1.228,1.2285
1.2149,1.2366,1.2358,1.2342,1.2285,1.2291
1.2116,1.2374,1.2403,1.2379,1.2293,1.2298
1.2313,1.2443,1.2427,1.2396,1.2298,1.2315
1.2362,1.2508,1.2478,1.2439,1.2313,1.2322
1.2433,1.2562,1.2531,1.2483,1.2286,1.2307
1.2526,1.2638,1.261,1.255,1.2308,1.234
1.2512,1.2723,1.2702,1.2631,1.2349,1.2354
1.2644,1.2831,1.2803,1.2715,1.2349,1.2403
1.2823,1.2934,1.2904,1.2803,1.2388,1.2428
1.2912,1.3067,1.3029,1.291,1.2415,1.2461
1.3216,1.3205,1.3191,1.3064,1.2453,1.2507
1.3578,1.3426,1.3377,1.323,1.2494,1.2566
1.3776,1.3717,1.3664,1.3508,1.2565,1.2649
1.4104,1.3964,1.3932,1.3782,1.2639,1.2739
1.4558,1.424,1.4205,1.4081,1.2735,1.2889
1.4964,1.4468,1.4444,1.4333,1.2814,1.2944
1.5237,1.4686,1.466,1.4616,1.2906,1.3084
