se,ge,iteration
0.8352072391512904,0.059335501393483675,1
0.45295650066397014,0.05634092984336369,2
0.6156549852781188,0.02041035797745756,3
0.09878346714703738,0.01886439485585313,4
0.10549287496578041,0.011169530589145167,5
0.02740139741027769,0.0173341207733117,6
0.4687599564800303,0.010391241330758784,7
0.028643997934389258,0.0054406755996158785,8
0.03901016448217312,0.003608313388902038,9
0.015458227342319886,0.0019557634228222548,10
0.010174413406219673,0.001127110451870883,11
0.007577758548639933,0.00139992129530423,12
0.00559295610202381,0.0009794325575902697,13
0.0061778167102337226,0.0008582765483740287,14
0.005266318203601234,0.0011786140792242595,15
0.01743521229085061,0.0155139718797641,16
0.007124068072298784,0.0018892634566397802,17
0.004665559889584699,0.0011967808900260105,18
0.005980530948249755,0.0017395551387564367,19
0.010689778988629791,0.0012027334293423432,20
0.005114768235039183,0.001320191081009898,21
0.006097771922295812,0.0008169417634059488,22
0.005712217491949506,0.0009963796763808686,23
0.011987886237934895,0.001442318460944669,24
0.007666745993097404,0.0011753952592605129,25
0.005729599834578086,0.0008859745873616371,26
0.008748552424135414,0.0013446847022923346,27
0.007782266685370201,0.0011830866722944448,28
0.009111334133800263,0.0011956361544592485,29
0.004416265040275479,0.0007629442616177556,30
0.0069174173299464455,0.0009860200367784802,31
0.01476021427830061,0.001218098266020005,32
0.0039689529445502145,0.0007844792913191268,33
0.004561984633669281,0.0009281509661250758,34
0.0044034476540659815,0.0009187242734907909,35
0.010026845670530743,0.001049874824630404,36
0.00861708258889518,0.0007546732540405689,37
0.008835891265948467,0.0014876881595348806,38
0.012737189813673026,0.004644038407337784,39
0.004726779550273416,0.0034992861312112796,40
0.013702749334789002,0.0010978123537269844,41
0.006200407276444222,0.001086955458553575,42
0.016782372289872657,0.003955215479705693,43
0.003752927605741977,0.0008178202430761895,44
0.0039290885745472985,0.0007426002394052998,45
0.002557571983751527,0.0008735016824668268,46
